condition,protocol,trial,stream_id,completion_ms,spread_ms
lossy,tcp,20,1,73.83345799462404,6.3599999994039536
lossy,tcp,20,2,73.83904099697247,6.3599999994039536
lossy,tcp,20,3,73.84145799733233,6.3599999994039536
lossy,tcp,21,0,66.30575000599492,0.008916991646401584
lossy,tcp,21,1,66.30941700132098,0.008916991646401584
lossy,tcp,21,2,66.31170799664687,0.008916991646401584
lossy,tcp,21,3,66.31466699764132,0.008916991646401584
lossy,tcp,22,0,65.29841700103134,1.9722919969353825
lossy,tcp,22,1,65.30825000663754,1.9722919969353825
lossy,tcp,22,2,67.26545900164638,1.9722919969353825
lossy,tcp,22,3,67.27070899796672,1.9722919969353825
lossy,tcp,23,0,119.7435000067344,7.661332987481728
lossy,tcp,23,1,119.75295799493324,7.661332987481728
lossy,tcp,23,2,119.75695799628738,7.661332987481728
lossy,tcp,23,3,127.40483299421612,7.661332987481728
lossy,tcp,24,0,68.62329100840725,1.904749995446764
lossy,tcp,24,1,68.6287499993341,1.904749995446764
lossy,tcp,24,2,68.63125000381842,1.904749995446764
lossy,tcp,24,3,70.52804100385401,1.904749995446764
lossy,tcp,25,0,52.731708012288436,62.18662500032224
lossy,tcp,25,1,114.90904100355692,62.18662500032224
lossy,tcp,25,2,114.9156660103472,62.18662500032224
lossy,tcp,25,3,114.91833301261067,62.18662500032224
lossy,tcp,26,0,63.27662500552833,20.53299998806324
lossy,tcp,26,1,81.625457998598,20.53299998806324
lossy,tcp,26,2,83.80445800139569,20.53299998806324
lossy,tcp,26,3,83.80962499359157,20.53299998806324
lossy,tcp,27,0,52.94716698699631,435.29170801048167
lossy,tcp,27,1,114.19495899463072,435.29170801048167
lossy,tcp,27,2,114.19837499852292,435.29170801048167
lossy,tcp,27,3,488.238874997478,435.29170801048167
lossy,tcp,28,0,55.44174999522511,2.139333009836264
lossy,tcp,28,1,57.57170799188316,2.139333009836264
lossy,tcp,28,2,57.57841699232813,2.139333009836264
lossy,tcp,28,3,57.58108300506137,2.139333009836264
lossy,tcp,29,0,52.29249999683816,2.107583000906743
lossy,tcp,29,1,54.38891600351781,2.107583000906743
lossy,tcp,29,2,54.39633299829438,2.107583000906743
lossy,tcp,29,3,54.4000829977449,2.107583000906743
lossy,tcp,30,0,65.51266599853989,0.010584000847302377
lossy,tcp,30,1,65.51779099390842,0.010584000847302377
lossy,tcp,30,2,65.52049999299925,0.010584000847302377
lossy,tcp,30,3,65.52324999938719,0.010584000847302377
lossy,tcp,31,0,54.616458000964485,2.095791991450824
lossy,tcp,31,1,56.70333300076891,2.095791991450824
lossy,tcp,31,2,56.7086249939166,2.095791991450824
lossy,tcp,31,3,56.71224999241531,2.095791991450824
lossy,tcp,32,0,50.03045800549444,4.292917001293972
lossy,tcp,32,1,51.97425000369549,4.292917001293972
lossy,tcp,32,2,51.98091700731311,4.292917001293972
lossy,tcp,32,3,54.32337500678841,4.292917001293972
lossy,tcp,33,0,53.45854199549649,58.675625012256205
lossy,tcp,33,1,112.12708300445229,58.675625012256205
lossy,tcp,33,2,112.13199999474455,58.675625012256205
lossy,tcp,33,3,112.1341670077527,58.675625012256205
lossy,tcp,34,0,49.22316700685769,16.487374989083037
lossy,tcp,34,1,60.48462500621099,16.487374989083037
lossy,tcp,34,2,62.584125000284985,16.487374989083037
lossy,tcp,34,3,65.71054199594073,16.487374989083037
lossy,tcp,35,0,57.288124997285195,0.009750001481734216
lossy,tcp,35,1,57.29241699737031,0.009750001481734216
lossy,tcp,35,2,57.29533400153741,0.009750001481734216
lossy,tcp,35,3,57.29787499876693,0.009750001481734216
lossy,tcp,36,0,53.14449999423232,3.8556670042453334
lossy,tcp,36,1,53.14920899400022,3.8556670042453334
lossy,tcp,36,2,56.99608399299905,3.8556670042453334
lossy,tcp,36,3,57.00016699847765,3.8556670042453334
lossy,tcp,37,0,53.03058300341945,45.69858299510088
lossy,tcp,37,1,95.64991599472705,45.69858299510088
lossy,tcp,37,2,97.7855829987675,45.69858299510088
lossy,tcp,37,3,98.72916599852033,45.69858299510088
lossy,tcp,38,0,59.297333005815744,15.203999995719641
lossy,tcp,38,1,69.71108300786,15.203999995719641
lossy,tcp,38,2,71.8690830108244,15.203999995719641
lossy,tcp,38,3,74.50133300153539,15.203999995719641
lossy,tcp,39,0,60.873624999658205,2.148333005607128
lossy,tcp,39,1,63.01183300092816,2.148333005607128
lossy,tcp,39,2,63.01783300295938,2.148333005607128
lossy,tcp,39,3,63.02195800526533,2.148333005607128
lossy,quic,0,0,61.4403749932535,48.72458300087601
lossy,quic,0,4,64.1873749991646,48.72458300087601
lossy,quic,0,12,64.5795000018552,48.72458300087601
lossy,quic,0,8,110.16495799412951,48.72458300087601
lossy,quic,1,0,55.25158300588373,2.5674170028651133
lossy,quic,1,8,55.52945801173337,2.5674170028651133
lossy,quic,1,4,57.62229100218974,2.5674170028651133
lossy,quic,1,12,57.819000008748844,2.5674170028651133
lossy,quic,2,0,51.58825000398792,193.65466698945966
lossy,quic,2,8,52.615833992604166,193.65466698945966
lossy,quic,2,4,100.04433400172275,193.65466698945966
lossy,quic,2,12,245.24291699344758,193.65466698945966
lossy,quic,3,0,66.34916600887664,50.114917001337744
lossy,quic,3,8,68.82700001006015,50.114917001337744
